Encuesta,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39
61,3,3,4,3,2,3,3,1,4,2,3,3,3,1,2,6,,4,4,4,277,Holando,3,7800,250,4.1,3.5,2,2,2,65,26,65,13,3,0.5,8,60,10
62,3,1,1,1,2,3,3,1,2,2,2,1,2,1,15,3,,,4,4,264,Holando,3,7500,633,4.1,3.5,3,2,2,56,27,70,14,3,7,8,55,7
69,2,2,4,2,2,3,3,1,3,2,2,1,3,1,2,4,Edad,4,3,,50,Holando,3,8000,230,3.3,3.2,2,2,2,65,26,70,15,3,2,9,66,2
71,3,3,2,2,2,2,3,2,3,2,2,2,3,1,7,6,,4,,4,921,Holando,3,8200,366,4.6,3.9,3,3,2,69,25,60,13,3,4,6,60,6
73,3,2,2,1,1,1,3,1,2,2,2,2,1,1,2,3,Edad,4,,,1350,,2,5490,350,4.5,3.5,3,3,3,42,24,70,12,3,8,10,50,3
74,3,3,3,3,2.5,2,3,2,4,2,2,1,3,1,2,6,Peso,,2,,1500,Holando,3,11590,260,3.6,3.1,2,3,3,53,24.5,120,15,2,0.5,3,90,5
75,3,2,4,3,1,2,3,1,4,2,3,1,3,3,2,7,Edad,3,2,4,7200,Holando,2,6710,220,4.3,3.4,2,3,3,35,25,80,13,3,3,8,60,6
79,3,3,2,3,2,2,3,2,4,2,2,3,3,1,2,4,,4,3,4,590,Holando,3,8000,300,3.9,3.5,2,3,2,55,25,60,13,3,1,7,55,3
80,2,2,2,2,1,3,3,1,2,2,2,1,2,1,7,3,,4,2,,88,Cruza,2,6500,450,3.8,3.3,1,2,2,,25,,14,3,1,3,60,4
81,3,2,2,2,2.5,3,3,1,3,2,2,3,2,1,7,4,,4,3,,312,Holando,3,8200,300,3.8,3.5,2,2,2,60,24,60,13,3,1,8,60,2
82,3,3,2,3,1,2,3,2,3,2,2,3,3,1,2,7,Edad,4,,,693,Jersey y cruzas,2,5000,200,4.4,3.8,3,3,2,65,24,55,13,3,3,4,55,3
85,3,2,2,2,2,3,3,1,2,2,2,2,1,1,15,3,Edad,4,,,410,Cruza,3,7800,350,3.6,3.4,2,2,2,55,24,65,13,3,2,6,60,3
86,2,3,4,1,2,1,3,1,3,2,3,1,2,1,2,2,Peso,,4,,900,Cruza,2,6500,220,3.87,3.49,3,3,2,52,24,137,13.4,2,,,70,
87,3,2,3,2,2,2,3,2,3,2,2,1,2,4,7,5,Consumo de materia seca,,3,4,700,Cruza,2,5500,350,4.7,3.98,3,3,2,40,24,90,12,3,0,5,66,4.5
88,3,2,2,1,2,2,3,1,3,2,3,1,3,1,2,4,Edad,3,2,,360,Holando,2,8235,500,2.8,3.4,3,3,2,45,24,60,12,1,3,3,60,4
90,3,2,4,1,2,3,3,2,4,2,2,1,1,1,15,4,Peso,,2,,180,Holando,2,8127,457,3.77,3.28,2,2,1,27,27,72,15,1,8.3,3.5,39,10.9
93,3,3,2,3,1,2,3,1,4,2,3,2,3,2,2,7,Edad,4,,,1190,Holando,3,10980,306,4.05,3.26,3,3,2,60,25,70,10,2,6,1,60,7
94,3,3,1,3,2,2,3,2,5,2,2,1,3,1,15,5,Peso,,4,,350,Cruza,2,8235,500,,,2,3,1,,27,,,1,,,60,
98,3,2,2,2,2.5,2,3,1,4,2,3,1,3,1,2,6,Edad,3,,,1250,Holando,2,7000,280,3.9,3.4,2,2,3,33,28,179,15,3,5,2,60,5
100,2,2,4,2,2,2,3,1,4,2,1,1,3,1,2,5,Edad,3,3,2,650,Holando,3,8845,280,4,3.6,2,3,3,,24,40,13,2,5,5,60,9
102,3,3,3,2,2,1,3,1,4,2,2,2,2,1,7,5,Edad,4,4,4,400,Holando,2,7015,357,3.48,3.22,2,2,3,68,21,140,14,2,8,8,58,6
103,2,3,1,1,2.5,2,3,1,4,2,3,2,2,1,2,3,Peso,,1,,420,Holando,2,6100,320,3.8,3.2,2,2,3,45,27,60,14,3,7,,45,
3,3,3,4,2,2,2,3,2,4,3,2,2,2,1,2,7,Edad,3,3,,720,Holando,3,9850,390,3.3,3.3,2,3,2,40,25,78,14,3,15,25,52,8
5,3,3,2,2,2,2,3,1,4,3,2,1,3,1,7,7,Edad,3,3,,150,Holando,2,,,,,2,1,3,,32,120,,3,,,60,
20,3,3,4,2,1,2,3,1,4,3,2,2,3,1,2,7,Edad,4,2,2,800,Holando,3,8056,300,3.6,3.25,2,3,3,60,27,50,,2,3,5,80,8
31,2,1,4,1,2,2,3,2,5,3,3,2,1,2,2,7,Edad,4,,,,,,,,,,,,,,,,,,,,,
34,2,2,4,1,2,2,3,2,5,3,3,2,1,3,2,7,Edad,4,,,800,Holando,2,7930,300,3.3,3.3,2,2,2,30,26,126,13,3,10,,60,10.5
39,3,2,2,3,2,2,3,1,3,3,2,1,3,4,7,3,Peso,,1,,200,Holando,3,5000,250,3.5,3.1,2,3,3,30,26,150,17,3,8,15,60,8
50,2,2,4,3,2,1,3,2,2,3,2,1,1,1,7,3,Consumo de materia seca,3,,4,,Holando,2,7625,,,,2,1,2,,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.surveymonkey.com/results/SM-ZMZPCKNYL/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
